iter	Passed	Remaining
660	1409	722
661	1410	720
662	1413	718
663	1416	716
664	1418	714
665	1420	712
666	1423	710
667	1426	709
668	1431	708
669	1436	707
670	1439	706
671	1442	703
672	1445	702
673	1446	699
674	1448	697
675	1449	694
676	1451	692
677	1452	689
678	1453	687
679	1457	685
680	1458	683
681	1459	680
682	1461	678
683	1462	675
684	1464	673
685	1465	670
686	1466	668
687	1467	665
688	1469	663
689	1471	661
690	1473	658
691	1475	656
692	1476	654
693	1478	651
694	1479	649
695	1481	646
696	1482	644
697	1483	641
698	1485	639
699	1487	637
700	1489	635
701	1490	632
702	1492	630
703	1494	628
704	1496	625
705	1497	623
706	1499	621
707	1501	619
708	1503	617
709	1504	614
710	1505	612
711	1507	609
712	1508	607
713	1510	605
714	1513	603
715	1515	601
716	1516	598
717	1517	596
718	1519	593
719	1520	591
720	1522	589
721	1525	587
722	1528	585
723	1530	583
724	1532	581
725	1534	578
726	1535	576
727	1537	574
728	1542	573
729	1545	571
730	1546	569
731	1547	566
732	1548	564
733	1550	561
734	1551	559
735	1554	557
736	1558	556
737	1559	553
738	1561	551
739	1562	548
740	1563	546
741	1566	544
742	1569	542
743	1573	541
744	1575	539
745	1576	536
746	1578	534
747	1579	532
748	1580	529
749	1581	527
750	1586	526
751	1589	524
752	1590	521
753	1593	519
754	1611	522
755	1612	520
756	1614	518
757	1616	516
758	1620	514
759	1622	512
760	1626	510
761	1628	508
762	1634	507
763	1636	505
764	1639	503
765	1640	501
766	1642	498
767	1646	497
768	1651	496
769	1653	493
770	1655	491
771	1656	489
772	1657	486
773	1659	484
774	1661	482
775	1663	480
776	1666	478
777	1670	476
778	1672	474
779	1676	472
780	1680	471
781	1681	468
782	1684	466
783	1685	464
784	1686	461
785	1687	459
786	1691	457
787	1695	456
788	1697	453
789	1698	451
790	1700	449
791	1701	446
792	1702	444
793	1703	441
794	1707	440
795	1709	438
796	1711	436
797	1713	433
798	1714	431
799	1715	428
800	1717	426
801	1722	425
802	1724	423
803	1725	420
804	1727	418
805	1728	415
806	1729	413
807	1730	411
808	1732	408
809	1736	407
810	1738	405
811	1740	402
812	1741	400
813	1742	398
814	1743	395
815	1746	393
816	1751	392
817	1755	390
818	1756	388
819	1758	385
820	1759	383
821	1761	381
822	1766	379
823	1768	377
824	1770	375
825	1771	373
826	1773	370
827	1774	368
828	1775	366
829	1777	364
830	1780	362
831	1783	360
832	1785	357
833	1787	355
834	1788	353
835	1790	351
836	1791	348
837	1793	346
838	1795	344
839	1798	342
840	1800	340
841	1802	338
842	1804	335
843	1805	333
844	1806	331
845	1808	329
846	1811	327
847	1812	324
848	1814	322
849	1815	320
850	1816	318
851	1817	315
852	1819	313
853	1820	311
854	1824	309
855	1827	307
856	1829	305
857	1830	302
858	1831	300
859	1832	298
860	1834	296
861	1835	293
862	1836	291
863	1841	289
864	1843	287
865	1845	285
866	1846	283
867	1847	281
868	1849	278
869	1850	276
870	1851	274
871	1855	272
872	1857	270
873	1858	267
874	1860	265
875	1861	263
876	1862	261
877	1864	259
878	1866	256
879	1869	254
880	1871	252
881	1874	250
882	1876	248
883	1877	246
884	1879	244
885	1880	241
886	1881	239
887	1886	237
888	1888	235
889	1892	233
890	1894	231
891	1895	229
892	1897	227
893	1900	225
894	1903	223
895	1905	221
896	1906	218
897	1907	216
898	1908	214
899	1910	212
900	1911	210
901	1912	207
902	1915	205
903	1918	203
904	1920	201
905	1921	199
906	1922	197
907	1923	194
908	1925	192
909	1926	190
910	1931	188
911	1933	186
912	1935	184
913	1936	182
914	1938	180
915	1939	177
916	1940	175
917	1942	173
918	1946	171
919	1948	169
920	1950	167
921	1951	165
922	1952	162
923	1953	160
924	1955	158
925	1956	156
926	1959	154
927	1961	152
928	1963	150
929	1964	147
930	1966	145
931	1975	144
932	1977	142
933	1979	139
934	1980	137
935	1982	135
936	1983	133
937	1986	131
938	1989	129
939	1991	127
940	1992	124
941	1993	122
942	1995	120
943	1996	118
944	1997	116
945	1999	114
946	2000	111
947	2001	109
948	2004	107
949	2006	105
950	2007	103
951	2008	101
952	2009	99
953	2010	96
954	2012	94
955	2014	92
956	2015	90
957	2018	88
958	2021	86
959	2025	84
960	2026	82
961	2028	80
962	2032	78
963	2034	75
964	2036	73
965	2037	71
966	2039	69
967	2040	67
968	2041	65
969	2043	63
970	2045	61
971	2047	58
972	2048	56
973	2050	54
974	2051	52
975	2053	50
976	2055	48
977	2057	46
978	2058	44
979	2059	42
980	2061	39
981	2062	37
982	2064	35
983	2065	33
984	2066	31
985	2068	29
986	2069	27
987	2071	25
988	2072	23
989	2074	20
990	2075	18
991	2076	16
992	2077	14
993	2079	12
994	2081	10
995	2083	8
996	2085	6
997	2088	4
998	2089	2
999	2091	0
